Country,General,Current,Emerging,Underground
Macao,spotify:playlist:34OZ9FWRYfcm5aIUmANWPI,spotify:playlist:4hw2kPFwL4i9hYVlJgwmL8,No playlist.,No playlist.
Madagascar,spotify:playlist:7x79x1zfUKScVjLllScx1R,spotify:playlist:6EDLXZW5z3pmsZeND3HNbA,No playlist.,No playlist.
Malawi,spotify:playlist:6VCNxW3drPoM39cwSSA1T8,spotify:playlist:3eK8AZ2kUQfBXPzo5vuhJL,spotify:playlist:0np8tWRg1AIYuGnC0GpbKn,No playlist.
Malaysia,spotify:playlist:3XziRa3MtukW9cB0EzKndj,spotify:playlist:0mjq9FA75g2gGN97vWLTFv,spotify:playlist:23JhJfLeIeY3KcZ0MQojQN,spotify:playlist:3xVXsBKun1NXiGG44GHB8y
Maldives,spotify:playlist:2mFJxg5fHccomb4Dii3CJt,spotify:playlist:2JhdOJ5a4tLdrBUzYbvtuj,spotify:playlist:6nckox5M9m26JAQhmi2j3e,No playlist.
Mali,spotify:playlist:3ApbjAeRHLcRxQ5NJ7K6yy,spotify:playlist:6rhvDw4OBanzegyGMcRqhJ,No playlist.,No playlist.
Malta,spotify:playlist:7BQGMoTHxD3GTkHBG6b5Vv,spotify:playlist:2nq1vHpisSfBvrCQ9Y9Ig5,spotify:playlist:7xrYCItpnpI1Bs4kFmXkWy,spotify:playlist:05Bf9oiXCzOjsIRJtVGFzI
Marshall Islands,spotify:playlist:2wAfLW81SGGPM4THu4Xy7j,spotify:playlist:4PLUMHvZreJPorJ3SG0ok7,No playlist.,No playlist.
Mauritania,spotify:playlist:0VGn02GMlgRkwhPJLL2xOg,spotify:playlist:28nfTcvkQUzVvCBkYVsNqq,No playlist.,No playlist.
Mauritius,spotify:playlist:5lNdkeYlA6TQOUHk6LMkB0,spotify:playlist:6i9aQAyzrXh47IkxLgLChC,spotify:playlist:1nLe161r5u6y7Tr89HOQwm,No playlist.
Mexico,spotify:playlist:0tCGsn6DBaUUTscnL0Fq4v,spotify:playlist:6bSQ1TDIWNMlyMU5PjSmxU,spotify:playlist:2YZKzNzoJAvgzxDxTq5OtO,spotify:playlist:4vxiMm1ImEcI2lo9S6px2a
Micronesia,spotify:playlist:3GHGkEGq9VGL1NkN2xmRee,spotify:playlist:5SzM4zNY9ErPTJXn7hXrpH,No playlist.,No playlist.
Moldova,spotify:playlist:5Uuol9cSWHFemgFoDlKHgf,spotify:playlist:1WUBG8fcWlSmOTSanvTZd2,spotify:playlist:4lxscxNtqqiumXoJz8Okg0,spotify:playlist:5DFAwXjPYz7uec3EIdGvXQ
Monaco,spotify:playlist:2gGMAS3lFdOE1vuJgytque,spotify:playlist:6ivW7wtuUnXm4NYwGeewBS,No playlist.,No playlist.
Mongolia,spotify:playlist:3dXF1zafhXyr4nxZVzffWu,spotify:playlist:53lEV6IPeHzgtj3EyjPgjk,No playlist.,No playlist.
Montenegro,spotify:playlist:2Xp7M6n0enVPIFaZaRHK0i,spotify:playlist:3dEKQSarIt38f4c4n8Ge7r,spotify:playlist:6T0gYlRWUknQL4v44jStM9,No playlist.
Morocco,spotify:playlist:2oraahpZiSij6uSL4lgnnI,spotify:playlist:2DXWUnzkAtOMq3TmrFmk0o,spotify:playlist:4zq2tWLtO3w42TxKIWryvC,spotify:playlist:6rgbNGnglP0NYKsHWagsSC
Mozambique,spotify:playlist:1vEmw7hHDoEANaEgBUPgQK,spotify:playlist:6vPBF3dbsgRgiePxjVarzU,spotify:playlist:34DypwIBF8rtCRJtG1SE0Z,No playlist.
