Number,Genre,Link
62,underground hip hop,https://embed.spotify.com/?uri=spotify:playlist:6d99h91us5ozdlNDvaeyXn
63,french hip hop,https://embed.spotify.com/?uri=spotify:playlist:1Wc17kLi2R2EsIACx5ElYt
64,norteno,https://embed.spotify.com/?uri=spotify:playlist:2UITkS3qkO0x6bKVzKZrbS
65,latin alternative,https://embed.spotify.com/?uri=spotify:playlist:6PBjVS6WmDRbFXYe39j8hN
66,colombian pop,https://embed.spotify.com/?uri=spotify:playlist:2nl7TE1YytDEEfs4Ul6ALj
67,pop urbaine,https://embed.spotify.com/?uri=spotify:playlist:21Le5iw1j6zgOMBtxioYfR
68,j-pop,https://embed.spotify.com/?uri=spotify:playlist:3leFycE2a7uXZyuC6DQbdQ
69,latin rock,https://embed.spotify.com/?uri=spotify:playlist:31YWtFP5V22xiYZ2og7HOy
70,german hip hop,https://embed.spotify.com/?uri=spotify:playlist:0N2gkh3nggtCtksCU2cSty
71,mexican pop,https://embed.spotify.com/?uri=spotify:playlist:4sghNjSZeUx5DFTADuPhPj
72,folk rock,https://embed.spotify.com/?uri=spotify:playlist:0TTsY3zQAYz6NppoHDR5MA
73,sertanejo universitario,https://embed.spotify.com/?uri=spotify:playlist:4JU3dwfdYvsBf0c4MOerz0
74,country rock,https://embed.spotify.com/?uri=spotify:playlist:2yykv7TMUr4jPHPAE8Q3vW
75,soul,https://embed.spotify.com/?uri=spotify:playlist:1YUIw9n6voqxPzawnEf3A2
76,reggaeton colombiano,https://embed.spotify.com/?uri=spotify:playlist:6svSgLHdMo6N5iGPSnUkKv
77,funk carioca,https://embed.spotify.com/?uri=spotify:playlist:1aAckG2NI0cuL7QDKVeV2N
78,sertanejo,https://embed.spotify.com/?uri=spotify:playlist:2EkYuzS8qUbRdqV5Bjnnin
79,k-pop boy group,https://embed.spotify.com/?uri=spotify:playlist:7jGzify69eicmfL77zOGbm
80,chicago rap,https://embed.spotify.com/?uri=spotify:playlist:71hJ9e25Ub4XZwiE1FZAjI
81,sierreno,https://embed.spotify.com/?uri=spotify:playlist:1ToiYTSneIiS6m4pYfrZrI
82,sertanejo pop,https://embed.spotify.com/?uri=spotify:playlist:1JsjFOxcEp912tK85VC98V
83,metal,https://embed.spotify.com/?uri=spotify:playlist:3pBfUFu8MkyiCYyZe849Ks
84,house,https://embed.spotify.com/?uri=spotify:playlist:6AzCASXpbvX5o3F8yaj1y0
85,europop,https://embed.spotify.com/?uri=spotify:playlist:4vuWieduKii4KZrUboVr9d
86,canadian hip hop,https://embed.spotify.com/?uri=spotify:playlist:5e1PICDGQN7VplhLeKVATy
87,hip pop,https://embed.spotify.com/?uri=spotify:playlist:1btVAcL1TR8anpF72xgvjB
88,latin arena pop,https://embed.spotify.com/?uri=spotify:playlist:59qMoqvlNat6Knc0feSWJn
89,indie rock,https://embed.spotify.com/?uri=spotify:playlist:4XXr357Jej7eUBh7XPK8hb
90,canadian contemporary r&b,https://embed.spotify.com/?uri=spotify:playlist:5wJb9tgSkHYu8lIXzallgA
91,modern alternative rock,https://embed.spotify.com/?uri=spotify:playlist:3PMlHfN3H3GmOcTgEcGwJT
92,toronto rap,https://embed.spotify.com/?uri=spotify:playlist:5dNwPmkdZFN0PBpWnke6pp
93,reggaeton flow,https://embed.spotify.com/?uri=spotify:playlist:2HZIaMnfPMDf24XjrNXaMt
94,banda,https://embed.spotify.com/?uri=spotify:playlist:6kFjZNVsJZVRGtjZsHbi5U
95,corridos tumbados,https://embed.spotify.com/?uri=spotify:playlist:1CrWKL1wwHpcYQqLmQpHxH
96,neo soul,https://embed.spotify.com/?uri=spotify:playlist:2zxYQBTWiXgpQEyQggYSTm
97,indonesian pop,https://embed.spotify.com/?uri=spotify:playlist:4VNawKxjIoJkE30Z9LbFzA
98,post-grunge,https://embed.spotify.com/?uri=spotify:playlist:60NgGlktCblheYPBSSUUXz
99,k-pop girl group,https://embed.spotify.com/?uri=spotify:playlist:64KEXfUapxhkmiqKDsBrbN
100,pop punk,https://embed.spotify.com/?uri=spotify:playlist:5prkai2xWcnqLxwORZSYbN
101,new wave,https://embed.spotify.com/?uri=spotify:playlist:1ydxatu4wrujF0H2hGU8IR
102,indie folk,https://embed.spotify.com/?uri=spotify:playlist:5Z5KHMrb3bNWGOZJ6y8gsL
103,conscious hip hop,https://embed.spotify.com/?uri=spotify:playlist:3IU0ZFCSvKNqASPNsWoPuj
104,stomp and holler,https://embed.spotify.com/?uri=spotify:playlist:3zVZ3GsfiYp0vlVazHcDXI
105,lounge,https://embed.spotify.com/?uri=spotify:playlist:7jk0EKyr4Lc4jc4XPE4ycL
106,blues rock,https://embed.spotify.com/?uri=spotify:playlist:2kISScyTs0we9kzH9MKEMb
107,viral pop,https://embed.spotify.com/?uri=spotify:playlist:0tAsyMQoefUL8DWNn6xkAk
108,bedroom pop,https://embed.spotify.com/?uri=spotify:playlist:339zjWDksACL7sNs2UehlX
109,new romantic,https://embed.spotify.com/?uri=spotify:playlist:4c8FDUUCm33WYC9xztAGYT
110,desi hip hop,https://embed.spotify.com/?uri=spotify:playlist:7hCUgCmtC02mQe4lUg5ZSs
111,spanish pop,https://embed.spotify.com/?uri=spotify:playlist:40auwv5lX0xeL2w7Kr6BoT
112,italian hip hop,https://embed.spotify.com/?uri=spotify:playlist:5kMRm3YJv7ZyX1VTmVZpdN
113,dark trap,https://embed.spotify.com/?uri=spotify:playlist:1lEZC1rWlusGF0IC6JxR5V
114,east coast hip hop,https://embed.spotify.com/?uri=spotify:playlist:61KJ6kPuE41yTp9SrHvWbZ
115,rap metal,https://embed.spotify.com/?uri=spotify:playlist:6VKTnBP8zsyEmP1Sk7TvMm
116,psychedelic rock,https://embed.spotify.com/?uri=spotify:playlist:7mXRIC5bSB6ZWOEPNfP0hl
117,trap argentino,https://embed.spotify.com/?uri=spotify:playlist:0t2kp4dTSFBUA8doPFtUuY
118,francoton,https://embed.spotify.com/?uri=spotify:playlist:1ZoIbk8whEaIhk5q1UQYre
119,puerto rican pop,https://embed.spotify.com/?uri=spotify:playlist:0KPfijR82jvlPTnt3Hmu2Q
120,quiet storm,https://embed.spotify.com/?uri=spotify:playlist:66k6nBXFo6of5ckPWCuCSi
121,hoerspiel,https://embed.spotify.com/?uri=spotify:playlist:6XDdeW5toilpyJXBi0Plxl
122,funk,https://embed.spotify.com/?uri=spotify:playlist:0MBvtOIm5fuBbRHEltDY8A
123,emo rap,https://embed.spotify.com/?uri=spotify:playlist:0Fz9zaKbug4gw1xTvmTUWI
124,boy band,https://embed.spotify.com/?uri=spotify:playlist:5MqoSHN1RNzdKd5T1QCN8S
125,miami hip hop,https://embed.spotify.com/?uri=spotify:playlist:4F2wv2RnXpmVW86K7Z2Es2
126,indie poptimism,https://embed.spotify.com/?uri=spotify:playlist:7nHgmv7uyIA1KHj6qTttjH
127,glam rock,https://embed.spotify.com/?uri=spotify:playlist:71LnSyxXMKcxgJSAhC1KDK
128,sleep,https://embed.spotify.com/?uri=spotify:playlist:0cuaFpexE9V0zr3s7l6yjR
129,west coast rap,https://embed.spotify.com/?uri=spotify:playlist:3tSxvStT2zgdgPcTxLdI3g
130,easy listening,https://embed.spotify.com/?uri=spotify:playlist:47RSt6JBM6AbqBxtggW1Jk
131,piano rock,https://embed.spotify.com/?uri=spotify:playlist:5rVVQKO7UFXkwpt7jF1Ne4
132,indie soul,https://embed.spotify.com/?uri=spotify:playlist:2I4WRSnG0wVgkbSasDUqKp
133,alternative r&b,https://embed.spotify.com/?uri=spotify:playlist:0Hwb2a9DJdom4yoe5V41K9
134,turkish pop,https://embed.spotify.com/?uri=spotify:playlist:4oKodlbJBRKSssO8LhsisY
135,slap house,https://embed.spotify.com/?uri=spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW
136,argentine rock,https://embed.spotify.com/?uri=spotify:playlist:70yDbCeImYqhxCDRU0qXpd
137,punjabi pop,https://embed.spotify.com/?uri=spotify:playlist:0a8gfAB5pIeR5x2ln5ARq0
138,alternative hip hop,https://embed.spotify.com/?uri=spotify:playlist:2kHQTJJWXc54i8mX8ndYdf
139,italian pop,https://embed.spotify.com/?uri=spotify:playlist:1otEUipmOvjOGGqvEHHxEy
140,sad rap,https://embed.spotify.com/?uri=spotify:playlist:2uM2IvAqc6HZmEiRjJBF6Q
141,electronica,https://embed.spotify.com/?uri=spotify:playlist:6I0NsYzfoj7yHXyvkZYoRx
142,progressive house,https://embed.spotify.com/?uri=spotify:playlist:3ApHTzZrOMqtDhnyiBSSci
143,rap francais,https://embed.spotify.com/?uri=spotify:playlist:0iWAjJOZQvLdbYeBDisvdT
144,uk dance,https://embed.spotify.com/?uri=spotify:playlist:5kDzf9eWk24U16EBkTDdpb
145,punk,https://embed.spotify.com/?uri=spotify:playlist:17qQT0G3yFjOJ02wWZaNCw
146,mpb,https://embed.spotify.com/?uri=spotify:playlist:0Fr9ysvU9XjFBMl4Rhl755
147,indietronica,https://embed.spotify.com/?uri=spotify:playlist:0yqVOsxA2U4P260ad60QuU
148,australian pop,https://embed.spotify.com/?uri=spotify:playlist:67qIuPZRX12l7yMpxBQpxs
149,disco,https://embed.spotify.com/?uri=spotify:playlist:0ZVSWcJIf7cvycEn9HUvps
150,ccm,https://embed.spotify.com/?uri=spotify:playlist:5prvXHLGfLtWJ7tB4W8Fvl
151,drift phonk,https://embed.spotify.com/?uri=spotify:playlist:19sgQqGAcGplazJZTXeLUG
152,vapor trap,https://embed.spotify.com/?uri=spotify:playlist:7o7kEPpjIe3yRRPbDFJSIR
153,detroit hip hop,https://embed.spotify.com/?uri=spotify:playlist:7gIFgVQoSml3JocSRd2t4S
154,german pop,https://embed.spotify.com/?uri=spotify:playlist:4pCmObKUeRQFFsF2nXu9t8
155,pop edm,https://embed.spotify.com/?uri=spotify:playlist:5OFsiAHgwlYHB6XLK0kJ4p
156,folk,https://embed.spotify.com/?uri=spotify:playlist:4JuKjgd76AZn2fUaeXNCuo
157,argentine hip hop,https://embed.spotify.com/?uri=spotify:playlist:6tT2e2rcnpUrywDkmgSASj
158,swedish pop,https://embed.spotify.com/?uri=spotify:playlist:6mvBNM74d828wcEy9Bpb46
159,big room,https://embed.spotify.com/?uri=spotify:playlist:70E7wtl8eL3IG2kpaWok6E
160,talent show,https://embed.spotify.com/?uri=spotify:playlist:1lMgl0D1HZVvtq16pB13ew
161,pagode,https://embed.spotify.com/?uri=spotify:playlist:2mL2d1k8Vxlf4P4q6JqcAv
162,metropopolis,https://embed.spotify.com/?uri=spotify:playlist:70z5dMlsS9fPudWdQ9ebqP
163,opm,https://embed.spotify.com/?uri=spotify:playlist:2LfEVQ7ETewcpbNa2IVsH7
164,tamil pop,https://embed.spotify.com/?uri=spotify:playlist:1n837Vzu2Mtk4H1vBYA3m3
165,chill r&b,https://embed.spotify.com/?uri=spotify:playlist:60FHIWc8xWDuaUyPMlhPFm
166,vocal jazz,https://embed.spotify.com/?uri=spotify:playlist:2ZazIXecBCVmTlbyKJHxOc
167,metalcore,https://embed.spotify.com/?uri=spotify:playlist:71kedeh6L7P0equUL0vOqe
168,anime,https://embed.spotify.com/?uri=spotify:playlist:5fSZTu6aISl80OPrmGu79j
169,urbano espanol,https://embed.spotify.com/?uri=spotify:playlist:6gpELhsiYJyaL13srOlTMQ
170,classical,https://embed.spotify.com/?uri=spotify:playlist:3HYK6ri0GkvRcM6GkKh0hJ
171,hardcore hip hop,https://embed.spotify.com/?uri=spotify:playlist:0iMt55EhVZULr9oClWtyOX
172,garage rock,https://embed.spotify.com/?uri=spotify:playlist:4Wnjv0bnb6Y7Il7WhEJC3x
173,mexican hip hop,https://embed.spotify.com/?uri=spotify:playlist:0zTflwpEJVMnCOSmExgS75
174,rap rock,https://embed.spotify.com/?uri=spotify:playlist:2xlyZ5SKttZHYxLU6o9mle
175,heartland rock,https://embed.spotify.com/?uri=spotify:playlist:73X32zjxrkOSaroGsaCJKx
176,hollywood,https://embed.spotify.com/?uri=spotify:playlist:0V1QibeEirHFpZ68S37kGy
177,nigerian pop,https://embed.spotify.com/?uri=spotify:playlist:7MwdQNmdKjQx3h1p3vP2eZ
178,worship,https://embed.spotify.com/?uri=spotify:playlist:1auZ2gm318zSzLhrknJtVw
179,roots rock,https://embed.spotify.com/?uri=spotify:playlist:70fcjVBboCf2RrKXEMMMxl
180,synthpop,https://embed.spotify.com/?uri=spotify:playlist:71wpwg8KzRxx240DcJx2EE
181,christian music,https://embed.spotify.com/?uri=spotify:playlist:1b1BPM9hp5Q0eI7yuGTaot
182,french pop,https://embed.spotify.com/?uri=spotify:playlist:03csHhetcFo29YHV4Z9A3g
183,folk-pop,https://embed.spotify.com/?uri=spotify:playlist:1RWc3d424qgjr8HTwCVh6A
184,british soul,https://embed.spotify.com/?uri=spotify:playlist:4Ar1S6TuqmS0R2RV59AR1k
185,yacht rock,https://embed.spotify.com/?uri=spotify:playlist:1imbMwZYgwB2NCAVPkq5sZ
186,escape room,https://embed.spotify.com/?uri=spotify:playlist:1BwLE6QTlmYAtosuvJcgY7
187,pop nacional,https://embed.spotify.com/?uri=spotify:playlist:4yf2dXdO6U7TVDXZMbm8nY
188,grupera,https://embed.spotify.com/?uri=spotify:playlist:1MBLuaTt9FmjgW3AVAlIKo
189,dance rock,https://embed.spotify.com/?uri=spotify:playlist:3PgRe3aEtNXhWm9GOUgOdG
190,j-rock,https://embed.spotify.com/?uri=spotify:playlist:537P5gB83q9AmtDFdFNBLO
191,lgbtq+ hip hop,https://embed.spotify.com/?uri=spotify:playlist:0njc7Pu7XGeU25wdaJRdLm
192,rock-and-roll,https://embed.spotify.com/?uri=spotify:playlist:34bhxCaWrYi4kF67mNYiXW
193,uk hip hop,https://embed.spotify.com/?uri=spotify:playlist:4Ek92zIh4Sq5IVU9Mgv7d6
194,soundtrack,https://embed.spotify.com/?uri=spotify:playlist:2RmQ1WAONeEih0FWEK7CW5
195,progressive electro house,https://embed.spotify.com/?uri=spotify:playlist:6j9xPeEsHgCS1eZW0HsIsk
196,j-poprock,https://embed.spotify.com/?uri=spotify:playlist:0Grl1cS6EIySP2ORk0ygYr
197,polish hip hop,https://embed.spotify.com/?uri=spotify:playlist:1DXuK8SBX4BNVEkZ4ifHBJ
198,contemporary r&b,https://embed.spotify.com/?uri=spotify:playlist:1rlHnACGatHAOQrZ3WjEI3
199,forro,https://embed.spotify.com/?uri=spotify:playlist:6aRR1ZmHR6ehjbhlsoctG1
200,indie r&b,https://embed.spotify.com/?uri=spotify:playlist:2xblssDewgd1AA5R7Lap6w
201,sad lo-fi,https://embed.spotify.com/?uri=spotify:playlist:1uN3iCLmAXg6rmS86SJM7g
202,mariachi,https://embed.spotify.com/?uri=spotify:playlist:5eAqREKMQTvNSVE3R8oVEj
203,pagode novo,https://embed.spotify.com/?uri=spotify:playlist:3U903ICkXhjRoPgPrG4O1j
204,italian adult pop,https://embed.spotify.com/?uri=spotify:playlist:4APG0kwkbEt77VxOuqKCUl
205,glam metal,https://embed.spotify.com/?uri=spotify:playlist:7yC6AO4CRgiFDjhYUkPUzX
206,funk rj,https://embed.spotify.com/?uri=spotify:playlist:4YyikjHPefH5dYGjgQ6zem
207,alternative dance,https://embed.spotify.com/?uri=spotify:playlist:5LwcdWTCx2JoWeVVWOYsGj
208,salsa,https://embed.spotify.com/?uri=spotify:playlist:58ELr3yC5uxg8QsQWD8Lmy
209,beatlesque,https://embed.spotify.com/?uri=spotify:playlist:7DMAadYDfKZnsaZcDKFPK4
210,classic soul,https://embed.spotify.com/?uri=spotify:playlist:1eWqWLqf2wmssHJFvNLK2P
211,brazilian rock,https://embed.spotify.com/?uri=spotify:playlist:3nExI3KhiOs9fFobjdHzfj
212,bolero,https://embed.spotify.com/?uri=spotify:playlist:40h91GpdbHja6VVsnetD0r
213,rap conscient,https://embed.spotify.com/?uri=spotify:playlist:3kYWjrbBEvI8n3bPI2ZRml
214,gen z singer-songwriter,https://embed.spotify.com/?uri=spotify:playlist:5nUyv9wyZKjdUW1rk3smTo
215,trap italiana,https://embed.spotify.com/?uri=spotify:playlist:6AxIe6nptUOe8jJ4LeNptt
216,lo-fi beats,https://embed.spotify.com/?uri=spotify:playlist:5OzAgYmdiqJKWjGvX7cP4Q
217,pop r&b,https://embed.spotify.com/?uri=spotify:playlist:2BvxkVFgxGelSCrWV53I2o
218,aesthetic rap,https://embed.spotify.com/?uri=spotify:playlist:2OY7wFfc4FIedjHBF95f9t
219,trap triste,https://embed.spotify.com/?uri=spotify:playlist:1uE60pEQpaIgUT3T7Voloi
220,dream pop,https://embed.spotify.com/?uri=spotify:playlist:2A5zN7OTP4n64gEtsFEO2Z
221,funk mtg,https://embed.spotify.com/?uri=spotify:playlist:7qgTJhcHV88KAk7zILiOLL
222,funk metal,https://embed.spotify.com/?uri=spotify:playlist:6JqQli6WY1G043Mihy3MBp
223,pluggnb,https://embed.spotify.com/?uri=spotify:playlist:5eUTjCgIZ8jNCpQRHbxltu
224,modern country rock,https://embed.spotify.com/?uri=spotify:playlist:01b3JSy4UfA2iiKodhAXse
225,dirty south rap,https://embed.spotify.com/?uri=spotify:playlist:3l6M4SAmRg9L0DlalK76H8
226,mandopop,https://embed.spotify.com/?uri=spotify:playlist:4EIGwSoao5WkHd5YVP4CfG
227,christian alternative rock,https://embed.spotify.com/?uri=spotify:playlist:3P1RRrVtaVLBTOvvNm8k8N
228,eurodance,https://embed.spotify.com/?uri=spotify:playlist:4jw4G9J55p7tXV2xEAGUj4
229,new americana,https://embed.spotify.com/?uri=spotify:playlist:7uSlfH4blWi70SZAtqAWbe
230,cantautor,https://embed.spotify.com/?uri=spotify:playlist:2KMAWk6brKSc3lVAsRZIMH
231,new french touch,https://embed.spotify.com/?uri=spotify:playlist:7m1pFx600mZCOuIsOoEIZW
232,queens hip hop,https://embed.spotify.com/?uri=spotify:playlist:0AxeQveEqk8X42sovBCls8
233,melancholia,https://embed.spotify.com/?uri=spotify:playlist:6gB4lvhZqPfknvnw2iNwL6
234,classic bollywood,https://embed.spotify.com/?uri=spotify:playlist:0JoynXyEsqFyxTn9NTZkFW
235,british invasion,https://embed.spotify.com/?uri=spotify:playlist:4UptWIEPwIimCpCHayG4yZ
236,australian dance,https://embed.spotify.com/?uri=spotify:playlist:3iiCEjJsCfkP18Xfqv9fZi
237,brostep,https://embed.spotify.com/?uri=spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0
238,memphis hip hop,https://embed.spotify.com/?uri=spotify:playlist:1rmskknWn4KPtEC6PHh2Rd
239,mexican rock,https://embed.spotify.com/?uri=spotify:playlist:5FI68jaboLczr9zIUVfQPW
240,orchestral soundtrack,https://embed.spotify.com/?uri=spotify:playlist:4a5OYJObN9YJPpfBuP2L22
241,melodic drill,https://embed.spotify.com/?uri=spotify:playlist:54z9sCdnMoFNmWuxczmEYW
242,russian hip hop,https://embed.spotify.com/?uri=spotify:playlist:69d6UEZKkFtQNEDQyntv7S
243,cali rap,https://embed.spotify.com/?uri=spotify:playlist:4KxHxwmVq3Q7Gg9wkyOwzV
244,pop soul,https://embed.spotify.com/?uri=spotify:playlist:0ShRnc2cyEyxkLbtZC4Yim
245,world worship,https://embed.spotify.com/?uri=spotify:playlist:5KopCY959BEZz4oWcG9yNS
246,grunge,https://embed.spotify.com/?uri=spotify:playlist:2PNaFf1DInEl8NJSdkE4F4
247,rockabilly,https://embed.spotify.com/?uri=spotify:playlist:5LNGaRZPGqluUQWQBY49WS
248,trap queen,https://embed.spotify.com/?uri=spotify:playlist:24lpzMRS776gtph07QO0AK
249,urbano mexicano,https://embed.spotify.com/?uri=spotify:playlist:3p1ydvi0RyHcDfIC1sfA3n
250,kleine hoerspiel,https://embed.spotify.com/?uri=spotify:playlist:27XLynMa4krkiA9piuqyT1
251,melodic metalcore,https://embed.spotify.com/?uri=spotify:playlist:4PsFYH9aJDNjy7iwkWag7S
